"Reference","Qty PCB","Footprint","Datasheet","Manufacturer","Part Number","Description"
"BOOT1,RESET1","2","Switch_SMD_Wurth:SW_Wurth_WS-TASV_430182043816","https://www.we-online.com/catalog/datasheet/430182043816.pdf?ki","Wurth Elektronik","430182043816","SMT Tact Switch 6x6 mm"
"C1,C2,C5,C9,C27,C29","6","Capacitor_SMD_Wurth:C_Wurth_WCAP-CSGP-1206_H1.6","https://www.we-online.com/catalog/datasheet/885012208093.pdf?ki","Wurth Elektronik","885012208093","MLCCs 50 V(DC) ED"
"C3","1","Capacitor_SMD_Wurth:C_Wurth_WCAP-CSGP-1206_H1.6","https://www.we-online.com/catalog/datasheet/885012108021.pdf?ki","Wurth Elektronik","885012108021","MLCCs 25 V(DC)"
"C4,C7,C8,C10,C13,C14,C15,C16,C21,C22,C23,C24","12","Capacitor_SMD_Wurth:C_Wurth_WCAP-CSGP-1206_H1.25","https://www.we-online.com/catalog/datasheet/885012208118.pdf?ki","Wurth Elektronik","885012208118","MLCCs 100 V(DC) ED"
"C6","1","Capacitor_SMD_Wurth:C_Wurth_WCAP-CSGP-1206_H1.25","https://www.we-online.com/catalog/datasheet/885012008055.pdf?ki","Wurth Elektronik","885012008055","MLCCs 50 V(DC) ED"
"C11,C12,C19,C20","4","Capacitor_SMD_Wurth:C_Wurth_WCAP-CSGP-1206_H0.8","https://www.we-online.com/catalog/datasheet/885012208083.pdf?ki","Wurth Elektronik","885012208083","MLCCs 50 V(DC) ED"
"C17,C18,C25,C26","4","Capacitor_SMD_Wurth:C_Wurth_WCAP-CSGP-1210_H2.5","https://www.we-online.com/catalog/datasheet/885012109011.pdf?ki","Wurth Elektronik","885012109011","MLCCs 16 V(DC) ED"
"C28","1","Capacitor_SMD_Wurth:C_Wurth_WCAP-CSGP-1206_H0.8","https://www.we-online.com/catalog/datasheet/885012008001.pdf?ki","Wurth Elektronik","885012008001","MLCCs 10 V(DC) ED"
"C30","1","Capacitor_SMD_Wurth:C_Wurth_WCAP-CSMH-1206_H1.6","https://www.we-online.com/catalog/datasheet/885342008003.pdf?ki","Wurth Elektronik","885342008003","MLCCS Mid and High Voltage"
"C31","1","Capacitor_SMD_Wurth:C_Wurth_WCAP-CSGP-1206_H1.6","https://www.we-online.com/catalog/datasheet/885012108003.pdf?ki","Wurth Elektronik","885012108003","MLCCs 6.3 V(DC) ED"
"C32,C33","2","Capacitor_SMD_Wurth:C_Wurth_WCAP-CSGP-0603_R","https://www.we-online.com/catalog/datasheet/885012006002.pdf?ki","Wurth Elektronik","885012006002","MLCCs 10 V(DC) ED"
"EMA1,EMB1,EMC1,EMD1","4","DRV8874PWPR:SOP65P640X120-17N","https://www.ti.com/lit/ds/symlink/drv8874.pdf?ts=1781034268731&ref_url=https%253A%252F%252Fwww.ti.com%252Fproduct%252Fde-de%252FDRV8874%252Fpart-details%252FDRV8874PWPR","Texas Instruments","DRV8874PWPR","40-V, 6-A H-bridge motor driver with integrated current sensing feedback"
"FB1","1","Ferrite_SMD_Wurth:FB_Wurth_WE-CBF-0603_W2.6","https://www.we-online.com/catalog/datasheet/742792641.pdf?ki","Wurth Elektronik","742792641","EMI Suppression Ferrite Bead, Multi-purpose Ferrite"
"I2C1","1","Connector_THT_Wurth:J_Wurth_WR-PHD_61300311121","https://www.we-online.com/en/components/products/datasheet/61300311121?ki","Wurth Elektronik","61300311121","2.54 mm THT Pin Header"
"IC1","1","SOT230P700X180-4N","http://www.ti.com/lit/gpn/tlv1117lv","Texas Instruments","TLV1117LV33DCYR","1-A, Positive Fixed Voltage, Low-Dropout Regulator"
"J1","1","WURTH_USB:629722000214_CUSTOM","https://www.we-online.com/components/products/datasheet/629722000214.pdf?srsltid=AfmBOopgS1fpVqzIp88kkSziMYYixj-iXYRL22aRdxcRBDhgIMAZGuSl","Würth Elektronik","629722000214","USB CONN, 2.0 TYPE C, R/A RCPT, 16P, SMT;"
"J2","1","691103110002:691103110002","https://www.we-online.com/components/products/datasheet/691103110002.pdf","Wurth Electronics","691103110002","Serie 1031 - 3,50mm pitch - Modular THT - Blue - Horizontal cable entry Wire Protector 8.4mm height - 02p"
"J3,J6","2","Connector_THT_Wurth:J_Wurth_WR-PHD_61300621121","https://www.we-online.com/en/components/products/datasheet/61300621121?ki","Wurth Elektronik","61300621121","2.54 mm THT Dual Pin Header"
"J4","1","Connector_THT_Wurth:J_Wurth_WR-PHD_61300821121","https://www.we-online.com/en/components/products/datasheet/61300821121?ki","Wurth Elektronik","61300821121","2.54 mm THT Dual Pin Header"
"J7,J8","2","Connector_THT_Wurth:J_Wurth_WR-MM_690367191672","https://www.we-online.com/en/components/products/datasheet/690367191672?ki","Wurth Elektronik","690367191672","Female Connector with Latch & w/o Polarization"
"J11,J12","2","Connector_THT_Wurth:J_Wurth_WR-MM_690367190672","https://www.we-online.com/en/components/products/datasheet/690367190672?ki","Wurth Elektronik","690367190672","Female Connector with Latch & w/o Polarization"
"L1,L2,L3,L4","4","CUSTOM:Electromagnet","","","","Electromagnetic actor"
"L5","1","Inductor_SMD_Wurth:L_Wurth_WE-KI-0603","https://www.we-online.com/catalog/datasheet/744761020A.pdf?ki","Wurth Elektronik","744761020A","Wire Wound Ceramic Inductor"
"L6","1","Inductor_SMD_Wurth:L_Wurth_WE-KI-0603","https://www.we-online.com/catalog/datasheet/744761124A.pdf?ki","Wurth Elektronik","744761124A","Wire Wound Ceramic Inductor"
"POWER_LED2,Status_LED_RX1,Status_LED_TX1","3","LED_SMD_Wurth:D_Wurth_WL-SMCW-0603dome","https://www.we-online.com/catalog/datasheet/150060VS86000.pdf?ki","Wurth Elektronik","150060VS86000","Mono-color Chip LED Waterclear"
"R1,R2","2","Resistor_SMD_Wurth:R_Wurth_WRIS-RSKS-0805_R","https://www.we-online.com/catalog/datasheet/560112120019.pdf?ki","Wurth Elektronik","560112120019","Anti-Sulfur Thick Film Resistors"
"R3,R4,R11","3","Resistor_SMD_Wurth:R_Wurth_WRIS-RSKS-1206_R","https://www.we-online.com/catalog/datasheet/560112132018.pdf?ki","Wurth Elektronik","560112132018","Anti-Sulfur Thick Film Resistors"
"R6,R7","2","Resistor_SMD_Wurth:R_Wurth_WRIS-RSKS-1206_R","https://www.we-online.com/catalog/datasheet/560112132050.pdf?ki","Wurth Elektronik","560112132050","Anti-Sulfur Thick Film Resistors"
"R8,R9,R10","3","Resistor_SMD_Wurth:R_Wurth_WRIS-RSKS-0805_R","https://www.we-online.com/catalog/datasheet/560112120030.pdf?ki","Wurth Elektronik","560112120030","Anti-Sulfur Thick Film Resistors"
"R12,R13,R16,R17","4","Resistor_SMD_Wurth:R_Wurth_WRIS-RSKS-1206_R","https://www.we-online.com/catalog/datasheet/560112132019.pdf?ki","Wurth Elektronik","560112132019","Anti-Sulfur Thick Film Resistors"
"R18","1","Resistor_SMD_Wurth:R_Wurth_WRIS-RSKS-0603_R","https://www.we-online.com/catalog/datasheet/560112116101.pdf?ki","Wurth Elektronik","560112116101","Anti-Sulfur Thick Film Resistors"
"R19","1","Resistor_SMD_Wurth:R_Wurth_WRIS-RSKS-0402","https://www.we-online.com/catalog/datasheet/560112110016.pdf?ki","Wurth Elektronik","560112110016","Anti-Sulfur Thick Film Resistors"
"R20,R25,R30,R35","4","Resistor_SMD_Wurth:R_Wurth_WRIS-RSKS-1206_R","https://www.we-online.com/catalog/datasheet/560112132041.pdf?ki","Wurth Elektronik","560112132041","Anti-Sulfur Thick Film Resistors"
"R21,R26,R31,R36","4","Resistor_SMD_Wurth:R_Wurth_WRIS-RSKS-0603_R","https://www.we-online.com/catalog/datasheet/560112116048.pdf?ki","Wurth Elektronik","560112116048","Anti-Sulfur Thick Film Resistors"
"R22,R23,R24,R27,R28,R29,R32,R33,R34,R37,R38,R39","12","Resistor_SMD_Wurth:R_Wurth_WRIS-RSKS-0805_R","https://www.we-online.com/catalog/datasheet/560112120002.pdf?ki","Wurth Elektronik","560112120002","Anti-Sulfur Thick Film Resistors"
"U1","1","Package_TO_SOT_SMD:SOT-23-6","https://www.we-online.com/components/products/datasheet/82400102.pdf","Wurth Elektronik","82400102","Low Capacitance TVS Diode Array, 2 Channels, SOT-23-6"
"U2","1","Package_DFN_QFN:QFN-32-1EP_5x5mm_P0.5mm_EP3.45x3.45mm","https://www.espressif.com/sites/default/files/documentation/esp32-c3_datasheet_en.pdf","Espressif","ESP32-C3",""
"U4","1","SOT95P280X145-6N:SOT95P280X145-6N","https://www.ti.com/lit/gpn/tmag5273","Texas Instruments","TMAG5173A2QDBVRQ1","Automotive, high-precision, linear 3D Hall-effect sensor with I²C interface"
"U5","1","TPS259474ARPWR:IC_TPS259474ARPWR","https://www.ti.com/lit/ds/symlink/tps25947.pdf?ts=1781078698487&ref_url=https%253A%252F%252Fwww.ti.com%252Fcompare-products%252F%253Fid%253D422%2526type%253DGPT%2526mode%253Dalternate-gpn%2526partList%253DLM7310%252CTPS25947%2526sticky%253Dtrue","Texas Instruments","TPS259474ARPWR","2.7-V to 23-V, 28-mΩ, 5.5-A eFuse with integrated reverse polarity protection"
"UART1","1","Connector_THT_Wurth:J_Wurth_WR-PHD_61300211121","https://www.we-online.com/en/components/products/datasheet/61300211121?ki","Wurth Elektronik","61300211121","2.54 mm THT Pin Header"
"Y1","1","Crystal_SMD_Wurth:Y_Wurth_WE-XTAL_Quartz-IQXC-42","https://www.we-online.com/catalog/datasheet/830108213209.pdf?ki","Wurth Elektronik","830108213209","Quartz Crystal ED"
